Type [validation category](max length)                TableName.ColumnName
int                                                   Address.AddressId
string?                                               Address.AddressIdExternal
string?                                               Address.ParentAddressIdExternal
string? (100)                                         Address.Address1
string? (100)                                         Address.Address2
int?                                                  Address.CadastralUnitNumber
string? [MultilineText](100)                          Address.Comment
string? (2)                                           Address.CountryId
int?                                                  Address.CountyId
int?                                                  Address.EDokBuildingPlantId
string? (50)                                          Address.EDokNumber
int?                                                  Address.EDokPlantId
int?                                                  Address.EDokProjectId
string? (15)                                          Address.EDokProjectNumber
string? (50)                                          Address.GLN
decimal?                                              Address.GPSPositionAccuracy
decimal?                                              Address.GPSPositionAltitude
decimal?                                              Address.GPSPositionLatitude
decimal?                                              Address.GPSPositionLongitude
byte?                                                 Address.GPSPositionSourceType
int?                                                  Address.LeaseholdUnitNumber
string? (20)                                          Address.MunicipalityCode
int?                                                  Address.MunicipalityId
string? (100)                                         Address.Name
string? (100)                                         Address.Name2
int?                                                  Address.ParentAddressId
string? (10)                                          Address.PostalCode
string? (10)                                          Address.PostalNumber
string? (250)                                         Address.PostalPlace
int?                                                  Address.PropertyUnitNumber
int?                                                  Address.SectionUnitNumber
string? (50)                                          Address.SectionUnitText
int?                                                  Address.ShareUnitNumber
bool                                                  Address.Sys_Deactivated
bool                                                  Address.Sys_Historic
bool                                                  Address.Sys_Incomplete
bool                                                  Address.Ext_Sys_Deactivated
string                                                Address.Ext_ExternalId
string                                                Address.Ext_In_Error_MsgNO
string                                                Address.Ext_In_Error_MsgEN
string                                                Address.Ext_In_Error_TraceId
string                                                Address.Ext_In_Error_TechDetail
string                                                Address.Ext_In_Error_FixLink
bool                                                  Address.Ext_In_Error_SetOK
DateTime                                              Address.Ext_In_LastSyncUTC
string                                                Address.Ext_Out_Error_MsgNO
string                                                Address.Ext_Out_Error_MsgEN
string                                                Address.Ext_Out_Error_TraceId
string                                                Address.Ext_Out_Error_TechDetail
string                                                Address.Ext_Out_Error_FixLink
bool                                                  Address.Ext_Out_Error_SetOK
DateTime                                              Address.Ext_Out_LastSyncUTC
--> ExternalSystemAddress[]                           Address.ExternalSystemAddresses
int                                                   Appointment.AppointmentId
string?                                               Appointment.AppointmentIdExternal
string?                                               Appointment.ContactIdExternal
string?                                               Appointment.EmployeeIdExternal
string? [MultilineText]                               Appointment.Comment
int?                                                  Appointment.ContactId
string? [MultilineText](255)                          Appointment.Description
int                                                   Appointment.EmployeeId
DateTime                                              Appointment.EndDateTimeUTC
int?                                                  Appointment.OnCreate_ContactMessageId
bool                                                  Appointment.OnCreate_IsActive
string? (512)                                         Appointment.OnCreate_Message
int?                                                  Appointment.Reminder_ContactMessageId
bool                                                  Appointment.Reminder_IsActive
int?                                                  Appointment.Reminder_LeadHours
string? (512)                                         Appointment.Reminder_Message
DateTime                                              Appointment.StartDateTimeUTC
bool                                                  Appointment.SyncToMobileDevice
bool                                                  Appointment.Sys_Deactivated
bool                                                  Appointment.Sys_Historic
bool                                                  Appointment.Sys_Incomplete
bool                                                  Appointment.Ext_Sys_Deactivated
string                                                Appointment.Ext_ExternalId
string                                                Appointment.Ext_In_Error_MsgNO
string                                                Appointment.Ext_In_Error_MsgEN
string                                                Appointment.Ext_In_Error_TraceId
string                                                Appointment.Ext_In_Error_TechDetail
string                                                Appointment.Ext_In_Error_FixLink
bool                                                  Appointment.Ext_In_Error_SetOK
DateTime                                              Appointment.Ext_In_LastSyncUTC
string                                                Appointment.Ext_Out_Error_MsgNO
string                                                Appointment.Ext_Out_Error_MsgEN
string                                                Appointment.Ext_Out_Error_TraceId
string                                                Appointment.Ext_Out_Error_TechDetail
string                                                Appointment.Ext_Out_Error_FixLink
bool                                                  Appointment.Ext_Out_Error_SetOK
DateTime                                              Appointment.Ext_Out_LastSyncUTC
--> Assignment                                        Appointment.Assignment
--> ExternalSystemAppointment[]                       Appointment.ExternalSystemAppointments
int                                                   Assignment.AssignmentId
string?                                               Assignment.AssignmentIdExternal
string?                                               Assignment.AssignmentCategoryId_1External
string?                                               Assignment.AssignmentCategoryId_2External
string?                                               Assignment.AssignmentCategoryId_3External
string?                                               Assignment.AssignmentCategoryIdExternal
string?                                               Assignment.CaseHandler_EmployeeIdExternal
string?                                               Assignment.CustomerIdExternal
string?                                               Assignment.Default_InvoiceTemplateIdExternal
string?                                               Assignment.DepartmentIdExternal
string?                                               Assignment.Invoice_CustomerIdExternal
string?                                               Assignment.InvoiceLayoutIdExternal
string?                                               Assignment.JobResponsible_EmployeeIdExternal
string?                                               Assignment.PaymentTermIdExternal
string?                                               Assignment.ProductAgreementGroupIdExternal
string?                                               Assignment.ProjectIdExternal
string?                                               Assignment.ScheduledTaskDefIdExternal
string?                                               Assignment.ServiceAgreementIdExternal
string?                                               Assignment.ServiceContractIdExternal
string?                                               Assignment.StorageIdExternal
string?                                               Assignment.Sys_PreviousProductAgreementGroupIdExternal
bool                                                  Assignment.Archived
int?                                                  Assignment.AssignmentCategoryId
int?                                                  Assignment.AssignmentCategoryId_1
int?                                                  Assignment.AssignmentCategoryId_2
int?                                                  Assignment.AssignmentCategoryId_3
DateTime?                                             Assignment.AssignmentCompleteDateTimeUTC
int?                                                  Assignment.AssignmentNumber
int?                                                  Assignment.CaseHandler_EmployeeId
decimal?                                              Assignment.CoverageRateFixedPrice
decimal?                                              Assignment.CoverageRateNotFixedPrice
int?                                                  Assignment.CustomerId
string? (200)                                         Assignment.CustomerReference
short?                                                Assignment.Default_InvoiceTemplateId
short?                                                Assignment.DepartmentId
string? [MultilineText]                               Assignment.Description
DateTime?                                             Assignment.DueDate
string? [Email](100)                                  Assignment.EmailAddress
DateTime?                                             Assignment.EndDateTimeUTC
decimal?                                              Assignment.EstimatedCompletionPercentage
decimal?                                              Assignment.EstimatedTotalHours
string? (200)                                         Assignment.ExternalReference
decimal?                                              Assignment.FixedPriceAmount
bool                                                  Assignment.FixedPriceInvoiced
bool                                                  Assignment.GroupedInvoicing
bool                                                  Assignment.InternalOnly
string? (200)                                         Assignment.InternalReference
int?                                                  Assignment.Invoice_CustomerId
string? [MultilineText]                               Assignment.InvoiceComment
int?                                                  Assignment.InvoiceLayoutId
int?                                                  Assignment.JobResponsible_EmployeeId
bool                                                  Assignment.JobResponsibleCompleted
bool?                                                 Assignment.JobResponsibleCompleted_FromCw
DateTime?                                             Assignment.JobResponsibleCompletedUTC
string? (200)                                         Assignment.KeyInformation
int?                                                  Assignment.LinkedAssignmentId
decimal?                                              Assignment.MarginPercent
string? [MultilineText]                               Assignment.Note
DateTime?                                             Assignment.OptimizedAtUTC
byte?                                                 Assignment.PaymentTermId
int?                                                  Assignment.PieceworkNumber
